------------------------------------------------------------
Server listening on TCP port 5566
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 5566 connected with 10.0.0.2 port 33548
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec   832 KBytes  6.81 Mbits/sec
[  1] 1.0000-2.0000 sec  26.9 KBytes   220 Kbits/sec
[  1] 2.0000-3.0000 sec   116 KBytes   950 Kbits/sec
[  1] 3.0000-4.0000 sec  7.07 KBytes  57.9 Kbits/sec
[  1] 4.0000-5.0000 sec  63.6 KBytes   521 Kbits/sec
[  1] 5.0000-6.0000 sec   486 KBytes  3.98 Mbits/sec
[  1] 6.0000-7.0000 sec   126 KBytes  1.03 Mbits/sec
[  1] 7.0000-8.0000 sec   161 KBytes  1.32 Mbits/sec
[  1] 8.0000-9.0000 sec   308 KBytes  2.53 Mbits/sec
[  1] 9.0000-10.0000 sec   544 KBytes  4.46 Mbits/sec
[  1] 10.0000-11.0000 sec   259 KBytes  2.12 Mbits/sec
[  1] 11.0000-12.0000 sec  1.07 MBytes  8.95 Mbits/sec
[  1] 12.0000-13.0000 sec   793 KBytes  6.50 Mbits/sec
[  1] 13.0000-14.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 14.0000-15.0000 sec  53.7 KBytes   440 Kbits/sec
[  1] 15.0000-16.0000 sec  60.8 KBytes   498 Kbits/sec
[  1] 16.0000-17.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 17.0000-18.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 18.0000-19.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 19.0000-20.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 20.0000-21.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 21.0000-22.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 22.0000-23.0000 sec   485 KBytes  3.97 Mbits/sec
[  1] 23.0000-24.0000 sec   489 KBytes  4.01 Mbits/sec
[  1] 24.0000-25.0000 sec   445 KBytes  3.65 Mbits/sec
[  1] 25.0000-26.0000 sec   495 KBytes  4.05 Mbits/sec
