------------------------------------------------------------
Server listening on TCP port 5566
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 5566 connected with 10.0.0.2 port 33548
[ ID] Interval       Transfer     Bandwidth
[  1] 26.0000-27.0000 sec  1.01 MBytes  8.49 Mbits/sec
[  1] 27.0000-28.0000 sec   877 KBytes  7.18 Mbits/sec
[  1] 28.0000-29.0000 sec   355 KBytes  2.91 Mbits/sec
[  1] 29.0000-30.0000 sec   249 KBytes  2.04 Mbits/sec
[  1] 30.0000-31.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 31.0000-32.0000 sec   451 KBytes  3.70 Mbits/sec
[  1] 32.0000-33.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  1] 33.0000-34.0000 sec   962 KBytes  7.88 Mbits/sec
[  1] 34.0000-35.0000 sec   597 KBytes  4.89 Mbits/sec
[  1] 35.0000-36.0000 sec  62.2 KBytes   510 Kbits/sec
[  1] 36.0000-37.0000 sec  99.0 KBytes   811 Kbits/sec
[  1] 37.0000-38.0000 sec  67.9 KBytes   556 Kbits/sec
[  1] 38.0000-39.0000 sec  19.8 KBytes   162 Kbits/sec
[  1] 39.0000-40.0000 sec   174 KBytes  1.42 Mbits/sec
[  1] 40.0000-41.0000 sec   635 KBytes  5.20 Mbits/sec
[  1] 41.0000-42.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 42.0000-43.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 43.0000-44.0000 sec   109 KBytes   892 Kbits/sec
[  1] 44.0000-45.0000 sec  29.7 KBytes   243 Kbits/sec
[  1] 45.0000-46.0000 sec   675 KBytes  5.53 Mbits/sec
[  1] 46.0000-47.0000 sec   167 KBytes  1.37 Mbits/sec
[  1] 47.0000-48.0000 sec   314 KBytes  2.57 Mbits/sec
[  1] 48.0000-49.0000 sec   649 KBytes  5.32 Mbits/sec
[  1] 49.0000-50.0000 sec   492 KBytes  4.03 Mbits/sec
[  1] 50.0000-51.0000 sec   233 KBytes  1.91 Mbits/sec
[  1] 51.0000-52.0000 sec  1.21 MBytes  10.2 Mbits/sec
[  1] 52.0000-53.0000 sec  1.07 MBytes  9.01 Mbits/sec
[  1] 53.0000-54.0000 sec   126 KBytes  1.03 Mbits/sec
[  1] 54.0000-55.0000 sec  74.9 KBytes   614 Kbits/sec
[  1] 55.0000-56.0000 sec  60.8 KBytes   498 Kbits/sec
[  1] 56.0000-57.0000 sec   107 KBytes   880 Kbits/sec
[  1] 57.0000-58.0000 sec   168 KBytes  1.38 Mbits/sec
[  1] 58.0000-59.0000 sec   163 KBytes  1.33 Mbits/sec
[  1] 59.0000-60.0000 sec  1.20 MBytes  10.0 Mbits/sec
[  1] 60.0000-61.0000 sec  1.21 MBytes  10.2 Mbits/sec
[  1] 61.0000-62.0000 sec   799 KBytes  6.54 Mbits/sec
[  1] 62.0000-63.0000 sec   153 KBytes  1.25 Mbits/sec
[  1] 63.0000-64.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 64.0000-65.0000 sec  63.6 KBytes   521 Kbits/sec
[  1] 65.0000-66.0000 sec   788 KBytes  6.45 Mbits/sec
[  1] 66.0000-67.0000 sec   168 KBytes  1.38 Mbits/sec
[  1] 67.0000-68.0000 sec   573 KBytes  4.69 Mbits/sec
[  1] 68.0000-69.0000 sec   105 KBytes   857 Kbits/sec
[  1] 69.0000-70.0000 sec  1.04 MBytes  8.73 Mbits/sec
[  1] 70.0000-71.0000 sec   105 KBytes   857 Kbits/sec
[  1] 71.0000-72.0000 sec  60.8 KBytes   498 Kbits/sec
[  1] 72.0000-73.0000 sec   102 KBytes   834 Kbits/sec
[  1] 73.0000-74.0000 sec   211 KBytes  1.73 Mbits/sec
[  1] 74.0000-75.0000 sec   124 KBytes  1.02 Mbits/sec
[  1] 75.0000-76.0000 sec   574 KBytes  4.70 Mbits/sec
[  1] 76.0000-77.0000 sec   178 KBytes  1.46 Mbits/sec
[  1] 77.0000-78.0000 sec  1.48 MBytes  12.4 Mbits/sec
[  1] 78.0000-79.0000 sec   247 KBytes  2.03 Mbits/sec
[  1] 79.0000-80.0000 sec   566 KBytes  4.63 Mbits/sec
[  1] 80.0000-81.0000 sec   185 KBytes  1.52 Mbits/sec
[  1] 81.0000-82.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 82.0000-83.0000 sec  2.83 KBytes  23.2 Kbits/sec
[  1] 83.0000-84.0000 sec  22.6 KBytes   185 Kbits/sec
[  1] 84.0000-85.0000 sec   553 KBytes  4.53 Mbits/sec
[  1] 85.0000-86.0000 sec   153 KBytes  1.25 Mbits/sec
[  1] 86.0000-87.0000 sec   740 KBytes  6.06 Mbits/sec
[  1] 87.0000-88.0000 sec   396 KBytes  3.24 Mbits/sec
[  1] 88.0000-89.0000 sec   887 KBytes  7.26 Mbits/sec
[  1] 89.0000-90.0000 sec   232 KBytes  1.90 Mbits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 91.0000-92.0000 sec  19.8 KBytes   162 Kbits/sec
[  1] 92.0000-93.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 93.0000-94.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 94.0000-95.0000 sec  2.83 KBytes  23.2 Kbits/sec
[  1] 95.0000-96.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 96.0000-97.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 97.0000-98.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 98.0000-99.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 99.0000-100.0000 sec   235 KBytes  1.92 Mbits/sec
[  1] 100.0000-101.0000 sec   609 KBytes  4.99 Mbits/sec
[  1] 101.0000-102.0000 sec   113 KBytes   927 Kbits/sec
[  1] 102.0000-103.0000 sec  42.4 KBytes   348 Kbits/sec
[  1] 103.0000-104.0000 sec   983 KBytes  8.05 Mbits/sec
[  1] 104.0000-105.0000 sec   416 KBytes  3.41 Mbits/sec
[  1] 105.0000-106.0000 sec   699 KBytes  5.72 Mbits/sec
[  1] 106.0000-107.0000 sec   608 KBytes  4.98 Mbits/sec
[  1] 107.0000-108.0000 sec   529 KBytes  4.33 Mbits/sec
[  1] 108.0000-109.0000 sec   732 KBytes  6.00 Mbits/sec
[  1] 109.0000-110.0000 sec   286 KBytes  2.34 Mbits/sec
[  1] 110.0000-111.0000 sec   612 KBytes  5.02 Mbits/sec
[  1] 111.0000-112.0000 sec  41.0 KBytes   336 Kbits/sec
[  1] 112.0000-113.0000 sec   167 KBytes  1.37 Mbits/sec
[  1] 113.0000-114.0000 sec   694 KBytes  5.69 Mbits/sec
[  1] 114.0000-115.0000 sec   264 KBytes  2.17 Mbits/sec
[  1] 115.0000-116.0000 sec   173 KBytes  1.41 Mbits/sec
[  1] 116.0000-117.0000 sec   406 KBytes  3.32 Mbits/sec
[  1] 117.0000-118.0000 sec   318 KBytes  2.61 Mbits/sec
[  1] 118.0000-119.0000 sec  45.2 KBytes   371 Kbits/sec
[  1] 119.0000-120.0000 sec   725 KBytes  5.94 Mbits/sec
[  1] 120.0000-121.0000 sec   239 KBytes  1.96 Mbits/sec
[  1] 0.0000-121.1765 sec  41.1 MBytes  2.85 Mbits/sec
