------------------------------------------------------------
Server listening on TCP port 5566
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 5566 connected with 10.0.0.2 port 37862
[ ID] Interval       Transfer     Bandwidth
[  1] 79.0000-80.0000 sec  5.19 MBytes  43.5 Mbits/sec
[  1] 80.0000-81.0000 sec  5.52 MBytes  46.3 Mbits/sec
[  1] 81.0000-82.0000 sec  6.05 MBytes  50.8 Mbits/sec
[  1] 82.0000-83.0000 sec  1.36 MBytes  11.4 Mbits/sec
[  1] 83.0000-84.0000 sec  5.56 MBytes  46.6 Mbits/sec
[  1] 84.0000-85.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 85.0000-86.0000 sec  4.65 MBytes  39.0 Mbits/sec
[  1] 86.0000-87.0000 sec  4.80 MBytes  40.2 Mbits/sec
[  1] 87.0000-88.0000 sec  5.32 MBytes  44.7 Mbits/sec
[  1] 88.0000-89.0000 sec  2.56 MBytes  21.5 Mbits/sec
[  1] 89.0000-90.0000 sec  4.98 MBytes  41.8 Mbits/sec
[  1] 90.0000-91.0000 sec  4.16 MBytes  34.9 Mbits/sec
[  1] 91.0000-92.0000 sec  1.39 MBytes  11.7 Mbits/sec
[  1] 92.0000-93.0000 sec  2.68 MBytes  22.5 Mbits/sec
[  1] 93.0000-94.0000 sec  6.68 MBytes  56.0 Mbits/sec
[  1] 94.0000-95.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 95.0000-96.0000 sec  5.01 MBytes  42.0 Mbits/sec
[  1] 96.0000-97.0000 sec  2.44 MBytes  20.5 Mbits/sec
[  1] 97.0000-98.0000 sec  4.28 MBytes  35.9 Mbits/sec
[  1] 98.0000-99.0000 sec  4.08 MBytes  34.2 Mbits/sec
[  1] 99.0000-100.0000 sec  9.95 MBytes  83.5 Mbits/sec
[  1] 100.0000-101.0000 sec  8.19 MBytes  68.7 Mbits/sec
[  1] 101.0000-102.0000 sec  4.89 MBytes  41.0 Mbits/sec
[  1] 102.0000-103.0000 sec  6.69 MBytes  56.1 Mbits/sec
[  1] 103.0000-104.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  1] 104.0000-105.0000 sec  4.82 MBytes  40.5 Mbits/sec
[  1] 105.0000-106.0000 sec  1.47 MBytes  12.4 Mbits/sec
[  1] 106.0000-107.0000 sec  4.05 MBytes  34.0 Mbits/sec
[  1] 107.0000-108.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  1] 108.0000-109.0000 sec  6.92 MBytes  58.1 Mbits/sec
[  1] 109.0000-110.0000 sec  7.58 MBytes  63.6 Mbits/sec
[  1] 110.0000-111.0000 sec  4.57 MBytes  38.3 Mbits/sec
[  1] 111.0000-112.0000 sec  2.53 MBytes  21.2 Mbits/sec
[  1] 112.0000-113.0000 sec   132 KBytes  1.08 Mbits/sec
[  1] 113.0000-114.0000 sec  6.12 MBytes  51.3 Mbits/sec
[  1] 114.0000-115.0000 sec  2.83 KBytes  23.2 Kbits/sec
[  1] 115.0000-116.0000 sec  1.88 MBytes  15.8 Mbits/sec
[  1] 116.0000-117.0000 sec  5.47 MBytes  45.9 Mbits/sec
[  1] 117.0000-118.0000 sec  4.80 MBytes  40.2 Mbits/sec
[  1] 118.0000-119.0000 sec  3.90 MBytes  32.7 Mbits/sec
[  1] 119.0000-120.0000 sec  6.34 MBytes  53.2 Mbits/sec
[  1] 120.0000-120.7562 sec   369 KBytes  3.99 Mbits/sec
[  1] 0.0000-120.7562 sec   551 MBytes  38.3 Mbits/sec
